model_id,tag,inputs,output,options,bip_units,bip_price_usd,notes,description
fal-ai/image-editing/reframe,image-to-image,image,image,,run,0.04,,"The reframe endpoint intelligently adjusts an image's aspect ratio while preserving the main subject's position, composition, pose, and perspective"
fal-ai/image-editing/retouch,image-to-image,image,image,,run,0.04,,Retouch photos of faces. Remove blemishes and improve the skin.
fal-ai/image-editing/scene-composition,image-to-image,image,image,,run,0.04,,"Place your subject in any scene you imagine, from enchanted forests to urban settings, with professional composition and lighting"
fal-ai/image-editing/style-transfer,image-to-image,image,image,,run,0.04,,Transform your photos into artistic masterpieces inspired by famous styles like Van Gogh's Starry Night or any artistic style you choose.
fal-ai/image-editing/text-removal,image-to-image,image,image,,run,0.04,,Remove all text and writing from images while preserving the background and natural appearance.
fal-ai/image-editing/time-of-day,image-to-image,image,image,,run,0.04,,"Transform your photos to any time of day, from golden hour to midnight, with appropriate lighting and atmosphere."
fal-ai/image-editing/weather-effect,image-to-image,image,image,,run,0.04,,"Add realistic weather effects like snowfall, rain, or fog to your photos while maintaining the scene's mood."
fal-ai/image-editing/wojak-style,image-to-image,image,image,,run,0.04,,Transform your photos into wojak style while keeping the original characters likeness
fal-ai/image-editing/youtube-thumbnails,image-to-image,image,image,,run,0.04,,Generate YouTube thumbnails with custom text
fal-ai/image-preprocessors/depth-anything/v2,image-to-image,image,image,,compute seconds,0.00111,,Depth Anything v2 preprocessor.
fal-ai/image-preprocessors/hed,image-to-image,image,image,,compute seconds,0.00111,,Holistically-Nested Edge Detection (HED) preprocessor.
fal-ai/image-preprocessors/lineart,image-to-image,image,image,,compute seconds,0.00111,,Line art preprocessor.
fal-ai/image-preprocessors/midas,image-to-image,image,image,,compute seconds,0.00111,,MiDaS depth estimation preprocessor.
fal-ai/image-preprocessors/mlsd,image-to-image,image,image,,compute seconds,0.00111,,M-LSD line segment detection preprocessor.
fal-ai/image-preprocessors/pidi,image-to-image,image,image,,compute seconds,0.00111,,PIDI (Pidinet) preprocessor.
fal-ai/image-preprocessors/sam,image-to-image,image,image,,compute seconds,0.00111,,Segment Anything Model (SAM) preprocessor.
fal-ai/image-preprocessors/scribble,image-to-image,image,image,,compute seconds,0.00111,,Scribble preprocessor.
fal-ai/image-preprocessors/teed,image-to-image,image,image,,compute seconds,0.00111,,TEED (Temporal Edge Enhancement Detection) preprocessor.
fal-ai/image-preprocessors/zoe,image-to-image,image,image,,compute seconds,0.00111,,ZoeDepth preprocessor.
fal-ai/image2svg,image-to-image,image,image,,run,0.005,,"Image2SVG transforms raster images into clean vector graphics, preserving visual quality while enabling scalable, customizable SVG outputs with precise control over detail levels."
fal-ai/imagen3,text-to-image,text,image,,run,0.05,,Imagen3 is a high-quality text-to-image model that generates realistic images from text prompts.
fal-ai/imagen3/fast,text-to-image,text,image,,run,0.025,,Imagen3 Fast is a high-quality text-to-image model that generates realistic images from text prompts.
fal-ai/imagen4/preview,text-to-image,text,image,,run,0.04,,Google’s highest quality image generation model
fal-ai/imagen4/preview/fast,text-to-image,text,image,,run,0.02,,Google’s highest quality image generation model
fal-ai/imagen4/preview/ultra,text-to-image,text,image,,run,0.06,,Google’s highest quality image generation model
fal-ai/imageutils/depth,image-to-image,image,image,,compute seconds,0.000167,,Create depth maps using Midas depth estimation.
fal-ai/imageutils/marigold-depth,image-to-image,image,image,,compute seconds,0.000167,,Create depth maps using Marigold depth estimation.
fal-ai/imageutils/nsfw,vision,image,json,,run,0.001,,Predict the probability of an image being NSFW.
fal-ai/imageutils/rembg,image-to-image,image,image,,compute seconds,0.000167,,Remove the background from an image.
fal-ai/infinitalk,image-to-video,image,video,,output seconds,0.3,,Infinitalk model generates a talking avatar video from an image and audio file. The avatar lip-syncs to the provided audio with natural facial expressions.
fal-ai/infinitalk/single-text,text-to-video,text,video,,output seconds,0.3,,Infinitalk model generates a talking avatar video from a text and audio file. The avatar lip-syncs to the provided audio with natural facial expressions.
fal-ai/infinitalk/video-to-video,video-to-video,video,video,"480p
720p",output seconds,"0.3
0.6",,Infinitalk model generates a talking avatar video from an image and audio file. The avatar lip-syncs to the provided audio with natural facial expressions.
fal-ai/inpaint,image-to-image,image,image,,compute seconds,0.000575,,Inpaint images with SD and SDXL
fal-ai/instant-character,image-to-image,image,image,,mega pixels,0.1,,"InstantCharacter creates high-quality, consistent characters from text prompts, supporting diverse poses, styles, and appearances with strong identity control."
fal-ai/invisible-watermark,image-to-image,image,image,,compute seconds,0.00017,,Invisible Watermark is a model that can add an invisible watermark to an image.
fal-ai/ip-adapter-face-id,image-to-image,image,image,,compute seconds,0.00111,,High quality zero-shot personalization
fal-ai/janus,text-to-image,text,image,,compute seconds,0.00111,,DeepSeek Janus-Pro is a novel text-to-image model that unifies multimodal understanding and generation through an autoregressive framework
fal-ai/kling-video/lipsync/audio-to-video,text-to-video,text,video,,run,0.14,,Kling LipSync is an audio-to-video model that generates realistic lip movements from audio input.
fal-ai/kling-video/lipsync/text-to-video,text-to-video,text,video,,run,0.14,,Kling LipSync is a text-to-video model that generates realistic lip movements from text input.
fal-ai/kling-video/v1.5/pro/effects,text-to-video,text,video,,output seconds,0.1,,Generate video clips from your prompts using Kling 1.5 (pro)
fal-ai/kling-video/v1.5/pro/image-to-video,image-to-video,image,video,,output seconds,0.1,,Generate video clips from your images using Kling 1.5 (pro)
fal-ai/kling-video/v1.5/pro/text-to-video,text-to-video,text,video,,output seconds,0.1,,Generate video clips from your prompts using Kling 1.5 (pro)
fal-ai/kling-video/v1.6/pro/effects,text-to-video,text,video,,output seconds,0.095,,Generate video clips from your prompts using Kling 1.6 (pro)
fal-ai/kling-video/v1.6/pro/elements,image-to-video,image,video,,output seconds,0.095,,Generate video clips from your multiple image references using Kling 1.6 (pro)
fal-ai/kling-video/v1.6/pro/image-to-video,image-to-video,image,video,,output seconds,0.095,,Generate video clips from your images using Kling 1.6 (pro)
fal-ai/kling-video/v1.6/pro/text-to-video,text-to-video,text,video,,output seconds,0.095,,Generate video clips from your prompts using Kling 1.6 (pro)
fal-ai/kling-video/v1.6/standard/effects,text-to-video,text,video,,output seconds,0.045,,Generate video clips from your prompts using Kling 1.6 (std)
fal-ai/kling-video/v1.6/standard/elements,image-to-video,image,video,,output seconds,0.045,,Generate video clips from your multiple image references using Kling 1.6 (standard)
fal-ai/kling-video/v1.6/standard/image-to-video,image-to-video,image,video,,output seconds,0.045,,Generate video clips from your images using Kling 1.6 (std)
fal-ai/kling-video/v1.6/standard/text-to-video,text-to-video,text,video,,output seconds,0.045,,Generate video clips from your prompts using Kling 1.6 (std)
fal-ai/kling-video/v1/pro/ai-avatar,image-to-video,image,video,,output seconds,0.115,,"Kling AI Avatar Pro: The premium endpoint for creating avatar videos with realistic humans, animals, cartoons, or stylized characters"
fal-ai/kling-video/v1/standard/ai-avatar,image-to-video,image,video,,output seconds,0.0562,,"Kling AI Avatar Standard: Endpoint for creating avatar videos with realistic humans, animals, cartoons, or stylized characters"
fal-ai/kling-video/v1/standard/effects,text-to-video,text,video,,output seconds,0.045,,Generate video clips from your prompts using Kling 1.0
fal-ai/kling-video/v1/standard/image-to-video,image-to-video,image,video,,output seconds,0.045,,Generate video clips from your images using Kling 1.0
fal-ai/kling-video/v1/standard/text-to-video,text-to-video,text,video,,output seconds,0.045,,Generate video clips from your prompts using Kling 1.0
fal-ai/kling-video/v1/tts,text-to-speech,text,audio,,run,0.007,,"Generate speech from text prompts and different voices using the Kling TTS model, which leverages advanced AI techniques to create high-quality text-to-speech."
fal-ai/kling-video/v2.1/master/image-to-video,image-to-video,image,video,,output seconds,0.28,min 5 units?,"Kling 2.1 Master: The premium endpoint for Kling 2.1, designed for top-tier image-to-video generation with unparalleled motion fluidity, cinematic visuals, and exceptional prompt precision."
fal-ai/kling-video/v2.1/master/text-to-video,text-to-video,text,video,,output seconds,0.28,min 5 units?,"Kling 2.1 Master: The premium endpoint for Kling 2.1, designed for top-tier text-to-video generation with unparalleled motion fluidity, cinematic visuals, and exceptional prompt precision."
fal-ai/kling-video/v2.1/pro/image-to-video,image-to-video,image,video,,output seconds,0.09,min 5 units?,"Kling 2.1 Pro is an advanced endpoint for the Kling 2.1 model, offering professional-grade videos with enhanced visual fidelity, precise camera movements, and dynamic motion control, perfect for cinematic storytelling."
fal-ai/kling-video/v2.1/standard/image-to-video,image-to-video,image,video,,output seconds,0.05,min 5 units?,"Kling 2.1 Standard is a cost-efficient endpoint for the Kling 2.1 model, delivering high-quality image-to-video generation"
fal-ai/kling-video/v2.5-turbo/pro/image-to-video,image-to-video,image,video,,output seconds,0.07,min 5 units?,"Kling 2.5 Turbo Pro: Top-tier image-to-video generation with unparalleled motion fluidity, cinematic visuals, and exceptional prompt precision."
fal-ai/kling-video/v2.5-turbo/pro/text-to-video,text-to-video,text,video,,output seconds,0.07,min 5 units?,"Kling 2.5 Turbo Pro: Top-tier text-to-video generation with unparalleled motion fluidity, cinematic visuals, and exceptional prompt precision."
fal-ai/kling-video/v2/master/image-to-video,image-to-video,image,video,,output seconds,0.28,min 5 units?,Generate video clips from your images using Kling 2.0 Master
fal-ai/kling-video/v2/master/text-to-video,text-to-video,text,video,,output seconds,0.28,min 5 units?,Generate video clips from your prompts using Kling 2.0 Master
fal-ai/kling/v1-5/kolors-virtual-try-on,image-to-image,image,image,,run,0.07,,Kling Kolors Virtual TryOn v1.5 is a high quality image based Try-On endpoint which can be used for commercial try on.
fal-ai/kokoro/american-english,text-to-audio,text,audio,,input kilo tokens,0.02,,Kokoro is a lightweight text-to-speech model that delivers comparable quality to larger models while being significantly faster and more cost-efficient.
fal-ai/kokoro/brazilian-portuguese,text-to-audio,text,audio,,input kilo tokens,0.02,,A natural and expressive Brazilian Portuguese text-to-speech model optimized for clarity and fluency.
fal-ai/kokoro/british-english,text-to-audio,text,audio,,input kilo tokens,0.02,,A high-quality British English text-to-speech model offering natural and expressive voice synthesis.
fal-ai/kokoro/french,text-to-audio,text,audio,,input kilo tokens,0.02,,An expressive and natural French text-to-speech model for both European and Canadian French.
fal-ai/kokoro/hindi,text-to-audio,text,audio,,input kilo tokens,0.02,,A fast and expressive Hindi text-to-speech model with clear pronunciation and accurate intonation.
fal-ai/kokoro/italian,text-to-audio,text,audio,,input kilo tokens,0.02,,A high-quality Italian text-to-speech model delivering smooth and expressive speech synthesis.
fal-ai/kokoro/japanese,text-to-audio,text,audio,,input kilo tokens,0.02,,A fast and natural-sounding Japanese text-to-speech model optimized for smooth pronunciation.
fal-ai/kokoro/mandarin-chinese,text-to-audio,text,audio,,input kilo tokens,0.02,,A highly efficient Mandarin Chinese text-to-speech model that captures natural tones and prosody.
fal-ai/kokoro/spanish,text-to-audio,text,audio,,input kilo tokens,0.02,,A natural-sounding Spanish text-to-speech model optimized for Latin American and European Spanish.
fal-ai/kolors,text-to-image,text,image,,compute seconds,0.00111,,Photorealistic Text-to-Image
fal-ai/kolors/image-to-image,image-to-image,image,image,,compute seconds,0.00111,,Photorealistic Image-to-Image
fal-ai/latentsync,video-to-video,video,video,,output seconds,0.005,minimum 40 units?,LatentSync is a video-to-video model that generates lip sync animations from audio using advanced algorithms for high-quality synchronization.
fal-ai/layer-diffusion,text-to-image,text,image,,compute seconds,0.00111,,SDXL with an alpha channel.
fal-ai/lcm,text-to-image,text,image,,compute seconds,0.00111,,Produce high-quality images with minimal inference steps.
fal-ai/lcm-sd15-i2i,image-to-image,image,image,,compute seconds,0.000575,,Produce high-quality images with minimal inference steps. Optimized for 512x512 input image size.
fal-ai/leffa/pose-transfer,image-to-image,image,image,,run,0.1,,Leffa Pose Transfer is an endpoint for changing pose of an image with a reference image.
fal-ai/leffa/virtual-tryon,image-to-image,image,image,,run,0.1,,Leffa Virtual TryOn is a high quality image based Try-On endpoint which can be used for commercial try on.
fal-ai/lightning-models,text-to-image,text,image,,compute seconds,0.000575,,Collection of SDXL Lightning models.
fal-ai/live-portrait,image-to-video,image,video,,compute seconds,0.00125,,Transfer expression from a video to a portrait.
fal-ai/live-portrait/image,image-to-image,image,image,,compute seconds,0.00125,,Transfer expression from a video to a portrait.
fal-ai/llava-next,vision,image,text,,compute seconds,0.00125,,Vision
fal-ai/lora,text-to-image,text,image,,compute seconds,0.00111,,Run Any Stable Diffusion model with customizable LoRA weights.
fal-ai/lora/image-to-image,image-to-image,image,image,,compute seconds,0.00111,,Run Any Stable Diffusion model with customizable LoRA weights.
fal-ai/lora/inpaint,image-to-image,image,image,,compute seconds,0.00111,,Run Any Stable Diffusion model with customizable LoRA weights.
fal-ai/ltx-video,text-to-video,text,video,,run,0.02,,Generate videos from prompts using LTX Video
fal-ai/ltx-video-13b-dev,text-to-video,text,video,,run,0.2,,Generate videos from prompts using LTX Video-0.9.7 13B and custom LoRA
fal-ai/ltx-video-13b-dev/extend,video-to-video,video,video,,run,0.2,,Extend videos using LTX Video-0.9.7 13B and custom LoRA
fal-ai/ltx-video-13b-dev/image-to-video,image-to-video,image,video,,run,0.2,,Generate videos from prompts and images using LTX Video-0.9.7 13B and custom LoRA
fal-ai/ltx-video-13b-dev/multiconditioning,video-to-video,video,video,,run,0.2,,"Generate videos from prompts, images, and videos using LTX Video-0.9.7 13B and custom LoRA"
fal-ai/ltx-video-13b-distilled,text-to-video,text,video,,run,0.04,,Generate videos from prompts using LTX Video-0.9.7 13B Distilled and custom LoRA
fal-ai/ltx-video-13b-distilled/extend,video-to-video,video,video,,run,0.04,,Extend videos using LTX Video-0.9.7 13B Distilled and custom LoRA
fal-ai/ltx-video-13b-distilled/image-to-video,image-to-video,image,video,,run,0.04,,Generate videos from prompts and images using LTX Video-0.9.7 13B Distilled and custom LoRA
fal-ai/ltx-video-13b-distilled/multiconditioning,video-to-video,video,video,,run,0.04,,"Generate videos from prompts, images, and videos using LTX Video-0.9.7 13B Distilled and custom LoRA"
fal-ai/ltx-video-lora/image-to-video,image-to-video,image,video,,run,0.2,,Generate videos from prompts and images using LTX Video-0.9.7 and custom LoRA
fal-ai/ltx-video-lora/multiconditioning,video-to-video,video,video,,run,0.2,,"Generate videos from prompts, images, and videos using LTX Video-0.9.7 and custom LoRA"
fal-ai/ltx-video-trainer,training,,model,,steps,0.002,,Train LTX Video 0.9.7 for custom styles and effects.
fal-ai/ltx-video-v095,text-to-video,text,video,,run,0.04,,Generate videos from prompts using LTX Video-0.9.5
fal-ai/ltx-video-v095/extend,video-to-video,video,video,,run,0.04,,Generate videos from prompts and videos using LTX Video-0.9.5
fal-ai/ltx-video-v095/multiconditioning,video-to-video,video,video,,run,0.04,,"Generate videos from prompts,images, and videos using LTX Video-0.9.5"
fal-ai/ltx-video/image-to-video,image-to-video,image,video,,run,0.02,,Generate videos from images using LTX Video
fal-ai/ltxv-13b-098-distilled,text-to-video,text,video,,output seconds,0.02,24 fps,Generate long videos from prompts using LTX Video-0.9.8 13B Distilled and custom LoRA
fal-ai/ltxv-13b-098-distilled/extend,video-to-video,audio,video,,output seconds,0.02,24 fps,Extend videos using LTX Video-0.9.8 13B Distilled and custom LoRA
fal-ai/ltxv-13b-098-distilled/image-to-video,image-to-video,image,video,,output seconds,0.02,24 fps,Generate long videos from prompts and images using LTX Video-0.9.8 13B Distilled and custom LoRA
fal-ai/ltxv-13b-098-distilled/multiconditioning,video-to-video,audio,video,,output seconds,0.02,24 fps,"Generate long videos from prompts, images, and videos using LTX Video-0.9.8 13B Distilled and custom LoRA"
fal-ai/luma-dream-machine,text-to-video,text,video,,run,0.5,,Generate video clips from your prompts using Luma Dream Machine v1.5
fal-ai/luma-dream-machine/image-to-video,image-to-video,image,video,,run,0.5,,Generate video clips from your images using Luma Dream Machine v1.5
fal-ai/luma-dream-machine/ray-2,text-to-video,text,video,,output seconds,0.5,,"Ray2 is a large-scale video generative model capable of creating realistic visuals with natural, coherent motion."
fal-ai/luma-dream-machine/ray-2-flash,text-to-video,text,video,,output seconds,0.04,,"Ray2 Flash is a fast video generative model capable of creating realistic visuals with natural, coherent motion."
fal-ai/luma-dream-machine/ray-2-flash/image-to-video,image-to-video,image,video,,output seconds,0.04,,"Ray2 Flash is a fast video generative model capable of creating realistic visuals with natural, coherent motion."
fal-ai/luma-dream-machine/ray-2-flash/modify,video-to-video,video,video,,output seconds,0.12,,"Ray2 Flash Modify is a video generative model capable of restyling or retexturing the entire shot, from turning live-action into CG or stylized animation, to changing wardrobe, props, or the overall aesthetic and swap environments or time periods, giving you control over background, location, or even weather."
fal-ai/luma-dream-machine/ray-2-flash/reframe,video-to-video,video,video,,output seconds,0.06,,"Adjust and enhance videos with Ray-2 Reframe. This advanced tool seamlessly reframes videos to your desired aspect ratio, intelligently inpainting missing regions to ensure realistic visuals and coherent motion, delivering exceptional quality and creative flexibility."
fal-ai/luma-dream-machine/ray-2/image-to-video,image-to-video,image,video,,output seconds,0.5,,"Ray2 is a large-scale video generative model capable of creating realistic visuals with natural, coherent motion."
fal-ai/luma-dream-machine/ray-2/modify,video-to-video,video,video,,output seconds,0.35,,"Ray2 Modify is a video generative model capable of restyling or retexturing the entire shot, from turning live-action into CG or stylized animation, to changing wardrobe, props, or the overall aesthetic and swap environments or time periods, giving you control over background, location, or even weather."
fal-ai/luma-dream-machine/ray-2/reframe,video-to-video,video,video,,output seconds,0.2,,"Adjust and enhance videos with Ray-2 Reframe. This advanced tool seamlessly reframes videos to your desired aspect ratio, intelligently inpainting missing regions to ensure realistic visuals and coherent motion, delivering exceptional quality and creative flexibility."
fal-ai/luma-photon,text-to-image,text,image,,output mega pixels,0.019,,"Generate images from your prompts using Luma Photon. Photon is the most creative, personalizable, and intelligent visual models for creatives, bringing a step-function change in the cost of high-quality image generation."
fal-ai/luma-photon/flash,text-to-image,text,image,,output mega pixels,0.005,,"Generate images from your prompts using Luma Photon Flash. Photon Flash is the most creative, personalizable, and intelligent visual models for creatives, bringing a step-function change in the cost of high-quality image generation."
fal-ai/luma-photon/flash/modify,image-to-image,image,image,,mega pixels,0.005,,"Edit images from your prompts using Luma Photon. Photon is the most creative, personalizable, and intelligent visual models for creatives, bringing a step-function change in the cost of high-quality image generation."
fal-ai/luma-photon/flash/reframe,image-to-image,image,image,,mega pixels,0.005,,"This advanced tool intelligently expands your visuals, seamlessly blending new content to enhance creativity and adaptability, offering unmatched speed and quality for creators at a fraction of the cost."
fal-ai/luma-photon/modify,image-to-image,image,image,,mega pixels,0.019,,"Edit images from your prompts using Luma Photon. Photon is the most creative, personalizable, and intelligent visual models for creatives, bringing a step-function change in the cost of high-quality image generation."
fal-ai/luma-photon/reframe,image-to-image,image,image,,mega pixels,0.019,,"Extend and reframe images with Luma Photon Reframe. This advanced tool intelligently expands your visuals, seamlessly blending new content to enhance creativity and adaptability, offering unmatched personalization and quality for creators at a fraction of the cost."
fal-ai/lumina-image/v2,text-to-image,text,image,,output mega pixels,0.075,,"Lumina-Image-2.0 is a 2 billion parameter flow-based diffusion transforer which features improved performance in image quality, typography, complex prompt understanding, and resource-efficiency."
fal-ai/lynx,image-to-video,image,video,,output seconds,0.6,,Generate subject consistent videos using Lynx from ByteDance!
fal-ai/lyria2,text-to-audio,text,audio,,output seconds,0.0034,,"Lyria 2 is Google's latest music generation model, you can generate any type of music with this model."
fal-ai/magi,text-to-video,text,video,,output seconds,0.8,sigh...,MAGI-1 is a video generation model with exceptional understanding of physical interactions and cinematic prompts
fal-ai/magi-distilled,text-to-video,text,video,,output seconds,0.32,,MAGI-1 distilled is a faster video generation model with exceptional understanding of physical interactions and cinematic prompts
fal-ai/magi-distilled/extend-video,video-to-video,video,video,,output seconds,0.08,24 fps,MAGI-1 distilled extends videos faster with an exceptional understanding of physical interactions and prompts
fal-ai/magi-distilled/image-to-video,image-to-video,image,video,,output seconds,0.32,,MAGI-1 distilled generates videos faster from images with exceptional understanding of physical interactions and prompting
fal-ai/magi/extend-video,video-to-video,video,video,,output seconds,0.2,24 fps,MAGI-1 extends videos with an exceptional understanding of physical interactions and prompts
fal-ai/magi/image-to-video,image-to-video,image,video,,output seconds,0.2,sigh...,MAGI-1 generates videos from images with exceptional understanding of physical interactions and prompting
fal-ai/minimax-music,text-to-audio,text,audio,,run,0.035,,"Generate music from text prompts using the MiniMax model, which leverages advanced AI techniques to create high-quality, diverse musical compositions."
fal-ai/minimax-music/v1.5,text-to-audio,text,audio,,run,0.03,,"Generate music from text prompts using the MiniMax model, which leverages advanced AI techniques to create high-quality, diverse musical compositions."
fal-ai/minimax/hailuo-02-fast/image-to-video,image-to-video,image,video,512p,output seconds,0.017*,not fixed?,Create blazing fast and economical videos with MiniMax Hailuo-02 Image To Video API at 512p resolution
fal-ai/minimax/hailuo-02/pro/image-to-video,image-to-video,image,video,,output seconds,0.08,,"MiniMax Hailuo-02 Image To Video API (Pro, 1080p): Advanced image-to-video generation model with 1080p resolution"
fal-ai/minimax/hailuo-02/pro/text-to-video,text-to-video,text,video,,output seconds,0.08,,"MiniMax Hailuo-02 Text To Video API (Pro, 1080p): Advanced video generation model with 1080p resolution"
fal-ai/minimax/hailuo-02/standard/image-to-video,image-to-video,image,video,"512p
768p",output seconds,"0.017
0.045",,"MiniMax Hailuo-02 Image To Video API (Standard, 768p, 512p): Advanced image-to-video generation model with 768p and 512p resolutions"
fal-ai/minimax/hailuo-02/standard/text-to-video,text-to-video,text,video,,output seconds,0.045,,"MiniMax Hailuo-02 Text To Video API (Standard, 768p): Advanced video generation model with 768p resolution"
fal-ai/minimax/image-01,text-to-image,text,image,,run,0.01,,Generate high quality images from text prompts using MiniMax Image-01. Longer text prompts will result in better quality images.
fal-ai/minimax/image-01/subject-reference,image-to-image,image,image,,run,0.01,,Generate images from text and a reference image using MiniMax Image-01 for consistent character appearance.
fal-ai/minimax/preview/speech-2.5-hd,text-to-speech,text,audio,,input kilo tokens,0.1,,"Generate speech from text prompts and different voices using the MiniMax Speech-02 HD model, which leverages advanced AI techniques to create high-quality text-to-speech."
fal-ai/minimax/preview/speech-2.5-turbo,text-to-speech,text,audio,,input kilo tokens,0.06,,"Generate fast speech from text prompts and different voices using the MiniMax Speech-02 Turbo model, which leverages advanced AI techniques to create high-quality text-to-speech."
fal-ai/minimax/speech-02-hd,text-to-speech,text,audio,,input kilo tokens,0.1,,"Generate speech from text prompts and different voices using the MiniMax Speech-02 HD model, which leverages advanced AI techniques to create high-quality text-to-speech."
fal-ai/minimax/speech-02-turbo,text-to-speech,text,audio,,input kilo tokens,0.06,,"Generate fast speech from text prompts and different voices using the MiniMax Speech-02 Turbo model, which leverages advanced AI techniques to create high-quality text-to-speech."
fal-ai/minimax/video-01,text-to-video,text,video,,run,0.5,,Generate video clips from your prompts using MiniMax model
fal-ai/minimax/video-01-director,text-to-video,text,video,,run,0.5,,Generate video clips more accurately with respect to natural language descriptions and using camera movement instructions for shot control.
fal-ai/minimax/video-01-director/image-to-video,image-to-video,image,video,,run,0.5,,"Generate video clips more accurately with respect to initial image, natural language descriptions, and using camera movement instructions for shot control."
fal-ai/minimax/video-01-live,text-to-video,text,video,,run,0.5,,Generate video clips from your prompts using MiniMax model
fal-ai/minimax/video-01-live/image-to-video,image-to-video,image,video,,run,0.5,,Generate video clips from your images using MiniMax Video model
fal-ai/minimax/video-01-subject-reference,image-to-video,image,video,,run,0.5,,"Generate video clips maintaining consistent, realistic facial features and identity across dynamic video content"
fal-ai/minimax/video-01/image-to-video,image-to-video,image,video,,run,0.5,,Generate video clips from your images using MiniMax Video model
fal-ai/minimax/voice-clone,text-to-speech,text,audio,,run,1,,"Clone a voice from a sample audio and generate speech from text prompts using the MiniMax model, which leverages advanced AI techniques to create high-quality text-to-speech."
fal-ai/minimax/voice-design,text-to-speech,text,audio,"preview
create",input kilo tokens,"0.03
1","kilochars?
multiple units?","Design a personalized voice from a text description, and generate speech from text prompts using the MiniMax model, which leverages advanced AI techniques to create high-quality text-to-speech."
fal-ai/mix-dehaze-net,image-to-image,image,image,,mega pixels,0.025,,"An advanced dehaze model to remove atmospheric haze, restoring clarity and detail in images through intelligent neural network processing."
fal-ai/mmaudio-v2,video-to-video,audio,video,,output seconds,0.001,,MMAudio generates synchronized audio given video and/or text inputs. It can be combined with video models to get videos with audio.
fal-ai/mmaudio-v2/text-to-audio,text-to-audio,text,audio,,output seconds,0.001,,MMAudio generates synchronized audio given text inputs. It can generate sounds described by a prompt.
fal-ai/mochi-v1,text-to-video,text,video,,run,0.4,,Mochi 1 preview is an open state-of-the-art video generation model with high-fidelity motion and strong prompt adherence in preliminary evaluation.
fal-ai/moondream-next,vision,image,json,,compute seconds,0.0011,,"MoonDreamNext is a multimodal vision-language model for captioning, gaze detection, bbox detection, point detection, and more."
fal-ai/moondream-next/batch,vision,image,json,,compute seconds,0.0011,,MoonDreamNext Batch is a multimodal vision-language model for batch captioning.
fal-ai/moondream-next/detection,image-to-image,image,image,,compute seconds,0.0011,compute seconds? or seconds??,"MoonDreamNext Detection is a multimodal vision-language model for gaze detection, bbox detection, point detection, and more."
fal-ai/moondream/batched,vision,image,json,,compute seconds,0.00111,,Answer questions from the images.
fal-ai/moondream2,vision,image,json,,output kilo tokens,0.01,why output why,Moondream2 is a highly efficient open-source vision language model that combines powerful image understanding capabilities with a remarkably small footprint.
fal-ai/moondream2/object-detection,vision,image,json,,run,0.02,,Moondream2 is a highly efficient open-source vision language model that combines powerful image understanding capabilities with a remarkably small footprint.
fal-ai/moondream2/point-object-detection,vision,image,json,,run,0.02,,Moondream2 is a highly efficient open-source vision language model that combines powerful image understanding capabilities with a remarkably small footprint.
fal-ai/moondream2/visual-query,vision,image,json,,output kilo tokens,0.01,why output why,Moondream2 is a highly efficient open-source vision language model that combines powerful image understanding capabilities with a remarkably small footprint.
fal-ai/musetalk,image-to-video,image,video,,compute seconds,0.00111,,MuseTalk is a real-time high quality audio-driven lip-syncing model. Use MuseTalk to animate a face with your own audio.
fal-ai/nafnet/deblur,image-to-image,image,image,,mega pixels,0.0225,,Use NAFNet to fix issues like blurriness and noise in your images. This model specializes in image restoration and can help enhance the overall quality of your photography.
fal-ai/nafnet/denoise,image-to-image,image,image,,mega pixels,0.0225,,Use NAFNet to fix issues like blurriness and noise in your images. This model specializes in image restoration and can help enhance the overall quality of your photography.
fal-ai/nano-banana,text-to-image,text,image,,run,0.039,,Google's state-of-the-art image generation and editing model
fal-ai/nano-banana/edit,image-to-image,image,image,,run,0.039,,Google's state-of-the-art image generation and editing model
fal-ai/nextstep-1,image-to-image,image,image,,run,0.1,,Endpoint for NextStep-1 Autoregressive Image Editing model.
fal-ai/object-removal,image-to-image,image,image,"low quality
medium quality
high quality
best quality",run,"0.006
0.012
0.018
0.024",,"Removes objects and their visual effects using natural language, replacing them with contextually appropriate content"
fal-ai/object-removal/bbox,image-to-image,image,image,"low quality
medium quality
high quality
best quality",run,"0.006
0.012
0.018
0.024",,"Removes box-selected objects and their visual effects, seamlessly reconstructing the scene with contextually appropriate content."
fal-ai/object-removal/mask,image-to-image,image,image,"low quality
medium quality
high quality
best quality",run,"0.006
0.012
0.018
0.024",,"Removes mask-selected objects and their visual effects, seamlessly reconstructing the scene with contextually appropriate content."
fal-ai/omni-zero,image-to-image,image,image,,compute seconds,0.00111,,"Any pose, any style, any identity"
fal-ai/omnigen-v1,text-to-image,text,image,,output mega pixels,0.1,processed?,"OmniGen is a unified image generation model that can generate a wide range of images from multi-modal prompts. It can be used for various tasks such as Image Editing, Personalized Image Generation, Virtual Try-On, Multi Person Generation and more!"
fal-ai/omnigen-v2,text-to-image,text,image,,output mega pixels,0.15,,"OmniGen is a unified image generation model that can generate a wide range of images from multi-modal prompts. It can be used for various tasks such as Image Editing, Personalized Image Generation, Virtual Try-On, Multi Person Generation and more!"
